0,4,90
0,5,96
0,13,36
0,7,100
0,1,32
0,11,24
0,14,6
1,2,27
1,3,6
1,5,10
1,17,39
1,6,70
1,9,78
1,7,90
1,8,44
2,3,97
2,4,35
2,5,52
2,6,74
2,18,73
2,7,11
2,17,89
2,11,38
2,16,55
2,8,71
3,4,61
3,5,84
3,6,66
3,7,20
3,19,16
3,8,98
3,14,57
3,10,22
4,9,73
4,17,96
4,12,16
4,16,55
4,5,38
4,6,45
4,11,50
4,18,90
5,8,20
5,9,100
5,13,23
5,6,16
5,19,53
5,16,66
5,18,8
5,10,21
6,7,76
6,9,67
6,10,65
6,18,76
6,13,14
6,15,38
6,8,88
7,10,73
7,11,87
7,12,86
8,10,78
8,11,21
8,16,94
8,17,73
8,15,97
8,19,93
9,11,5
9,12,32
9,13,100
9,14,20
9,17,91
9,18,33
10,11,22
10,12,67
10,19,62
10,16,54
10,13,69
10,14,66
11,14,15
11,15,29
11,13,87
11,18,18
11,12,19
11,16,61
12,13,87
12,16,45
12,17,53
12,19,8
12,15,83
13,14,92
13,19,78
13,17,73
14,15,39
14,17,40
14,18,61
15,16,16
15,17,45
15,19,31
16,17,99
17,18,38
18,19,82
