0,1,88
0,7,77
1,2,88
1,8,58
2,3,29
2,9,83
3,4,60
3,10,41
4,5,16
4,11,13
5,6,85
5,12,94
6,13,25
7,8,15
7,14,39
8,9,38
8,15,24
9,10,31
9,16,68
10,11,8
10,17,19
11,12,65
11,18,71
12,13,82
12,19,80
13,20,34
14,15,6
14,21,32
15,16,10
15,22,25
16,17,12
16,23,76
17,18,63
17,24,35
18,19,45
18,25,11
19,20,35
19,26,88
20,27,24
21,22,6
21,28,34
22,23,28
22,29,45
23,24,53
23,30,72
24,25,84
24,31,96
25,26,97
25,32,12
26,27,60
26,33,80
27,34,79
28,29,68
28,35,44
29,30,55
29,36,58
30,31,67
30,37,43
31,32,17
31,38,17
32,33,64
32,39,47
33,34,69
33,40,25
34,41,30
35,36,48
35,42,99
36,37,48
36,43,55
37,38,60
37,44,21
38,39,38
38,45,5
39,40,95
39,46,24
40,41,55
40,47,93
41,48,54
42,43,42
43,44,60
44,45,32
45,46,23
46,47,20
47,48,40
